And shall, sir.	I will, sir.
A deed without a name.	A crime without a name.
And so, good Capulet—which name I tender As dearly as my own—be satisfied.	Good Capulet, which is the name I tender as dearly as my own, will be satisfied.
Alas, my lord, Your wisdom is consumed in confidence.	Oh my lord, your wisdom is consumed in confidence.
A beggar, brother?	A beggar, brother?
And bid her come hither.	Come here.
A conduit, girl?	A conduit, girl?
Ah, Desdemona, away, away, away!	Oh Desdemona, away, away.
A piece of work that will make sick men whole.	A piece of work that will make sick men whole.
All is the fear and nothing is the love, As little is the wisdom, where the flight So runs against all reason.	Everything is fear and nothing is love, as little is wisdom, where the flight So runs against all reason.
An please your Worship, Brakenbury, You may partake of anything we say.	If you are a good man, Brakenbury, you may be able to take part in anything we say.
Alas, thou hast misconstrued everything!	You have misinterpreted everything.
And time is at his period.	He is at his time.
Alas, alas!	Oh, sorry!
And I another So weary with disasters, tugged with fortune, That I would set my life on any chance, To mend it or be rid on ’t.	I was so weary with disasters, tugging with fortune, that I would set my life on any chance, to stop it or be riddled on a whim.
Alas, good Kate, I will not burden thee, For knowing thee to be but young and light— Too light for such a swain as you to catch, And yet as heavy as my weight should be.	I will not burden you, because I know you to be young and light, too light for a swain as you catch, and yet as heavy as my weight should be.
And I trow this is his house.	I trow this is his house.
And never could maintain his part but in the force of his will.	He never could keep his part, but in the force of his will.
Are you yet determined Today to marry with my brother’s daughter?	Are you yet determined to marry my brother’s daughter?
And I do with an eye of love requite her.	I love her with a smile.
And stay, good Nurse.	Stay, Nurse.
And neither man nor master would take aught But the two rings.	Both men and masters would not take aught.
Alack, sir, I am sand-blind.	I am sandblind.
A dear happiness to women.	A dear happiness to women.
Antonio.	Antonio.
And, I think, if my breast had not been made of faith, and my heart of steel, She had transformed me to a curtal dog and made me turn i' th' wheel.	If my breast had not been made of faith, and my heart of steel, she would have transformed me into a curtal dog and made me turn i' s wheel.
And I’ll be wise hereafter And seek for grace.	I will be wise hereafter and seek grace.
Ah, women, women!	Oh, women, women!
And the business you have broached here cannot be without you, especially that of Cleopatra’s, which wholly depends on your abode.	The business you have done here cannot be without you, especially the business of Cleopatra, which is entirely dependent on your home.
A heavy sight!	A heavy sight!
Alas, gentlemen— Help, ho!— Lieutenant—sir, Montano— Help, masters!—Here’s a goodly watch indeed!	Oh, gentlemen, help, ho!
And they are gone.	They are gone.
An evil soul producing holy witness Is like a villain with a smiling cheek, A goodly apple rotten at the heart.	A evil soul producing holy witness is like a villain with a smiling cheek, a goodly apple rotten at the heart.
Affection is not rated from the heart.	Affection is not rated from the heart.
All the perfumes of Arabia will not sweeten this little hand.	All the perfumes of Arabia will not sweeten this little hand.
All for your delight We are not here.	We are not here for your pleasure.
And yet she’ll kneel and pray, I have seen her do ’t.	She will kneel and pray, I have seen her do it.
And sometime comes she with a tithe-pig’s tail Tickling a parson’s nose as he lies asleep, Then he dreams of another benefice.	He dreams of a new life.
A miracle!	A miracle!
A heavy summons lies like lead upon me, And yet I would not sleep.	I would not sleep.
And you by land.	You are by land.
And so say I.	I say that.
All with me’s meet that I can fashion fit.	I can make it fit.
And why should Caesar be a tyrant then?	Why should Caesar be a tyrant?
And welcome, welcome!	Welcome, welcome!
And all the faith, the virtue of my heart, The object and the pleasure of mine eye, Is only Helena.	All the faith, the virtue of my heart, the object and the pleasure of my eye, is Helena.
And of the heat of the ginger.	The heat of the ginger.
Are not you he?	Are you not?
And now I’ll do ’t.	I will do it.
A parlous boy!	A terrible boy!
And, good boy, good night.	Good night.
And for his dreams, I wonder he’s so simple To trust the mock'ry of unquiet slumbers.	I wonder if he is so simple to trust the mockery of unquiet slumbers.
And were the king on ’t, what would I do?	If I were the king on a king, what would I do?
And I have heard Apollodorus carried—   What, I pray you?	I have heard Apollodorus carry it, and what, I pray you?
A most high miracle!	A great miracle!
Ah, for my husband, for my dear lord Edward!	Oh, for my husband, for my dear Edward!
And is it physical To walk unbracèd and suck up the humors Of the dank morning?	Is it physically to walk unbracéd and suck up the humors of the morning?
And laid the love juice on some true love’s sight.	Then he laid the love juice on some true love’s sight.
Are they not now upon the western shore, Safe-conducting the rebels from their ships?	Aren’t they now on the western shore, allowing the rebels to take their ships off?
A beast, no more.	A beast, no more.
And, being men, bearing the will of Caesar, It will inflame you, it will make you mad.	Being men, bearing the will of Caesar, it will inflame you and make you mad.
An honest tale speeds best being plainly told.	An honest tale is the best way to be told.
A hundred marks, my Kate does put her down.	A hundred marks, my Kate puts her down.
And, as you said (and wisely was it said) 'Tis meet that some more audience than a mother— Since nature makes them partial—should o'erhear The speech, of vantage.	You said (and wisely was it said) that 'Tis meeting that some more audience than a mother should o'erhear The speech, of vantage.
Abhor it, fear it, do not enter it.	Be afraid, do not enter it.
An thou let part so, Sir Andrew, would thou mightst never draw sword again.	If you let it go, Sir Andrew, you would never have to draw a sword again.
And is it thus?	Is that the case?
And I, most jocund, apt, and willingly, To do you rest, a thousand deaths would die.	I would kill a thousand people if I did not do it.
And this our life, exempt from public haunt, Finds tongues in trees, books in the running brooks, Sermons in stones, and good in everything.	This is our life, exempt from public haunting, and it is a place where tongues are found in trees, books in the running brooks, Sermons in stones and good in everything.
A traveler.	A traveler.
Anon we’ll drink a measure The table round.	We will drink a measure round the table.
And therefore, like herself—wise, fair and true— Shall she be placèd in my constant soul.	So, like herself, wise, fair and true, she will be placèd in my constant soul.
And in their ship I am sure Lorenzo is not.	I am sure Lorenzo is not.
Abhorred villain!	I am a bad villain.
All this is so, but what of this, my lord?	All this is so, but what is that going on, my lord?
And sometime lurk I in a gossip’s bowl In very likeness of a roasted crab, And when she drinks, against her lips I bob And on her withered dewlap pour the ale.	I bob and bob her withered dewlap over her head.
And an ill singer, my lord.	I am a sick singer.
And only in that safety died her brothers.	Only in that safety she died her brothers.
All the conspirators save only he Did that they did in envy of great Caesar.	All the conspirators, except he did, did that in envy of great Caesar.
And so will I.	I will.
A fair name.	A good name.
A sleeve?	A sleeve?
A grandam’s name is little less in love Than is the doting title of a mother.	A grandam is little less in love than a mother is.
Acquaint her here of my son Paris' love, And bid her, mark you me, on Wednesday next— But, soft!	Affirm her here the love of my son Paris and ask her to mark you on Wednesday next week.
All three of them are desperate.	All three of them are desperate.
A noble prisoner!	A noble prisoner!
Alas, he faints!	He faints!
And one Deformed is one of them.	One Deformed is one of them.
And let him hold his fingers thus, and through that cranny shall Pyramus and Thisbe whisper.	Let him hold his fingers so, and Pyramus and Thisbe will whisper through that cranny.
And when shalt thou see him again?	When will you see him again?
And what art thou, thou idol ceremony?	What is your idol ceremony?
Ambassadors from Harry King of England Do crave admittance to your Majesty.	Ambassadors from Harry King of England crave acceptance to your Majesty.
Adieu, adieu!	Adieu, adieu!
Alack, alack!	Oh, no!
All thy other titles thou hast given away that thou wast born with.	You have given away all your other titles that you were born with.
And how was that ta'en up?	How was that ta'en up?
Are they “informed” of this?	Are they “informed” of this?
And you all know, security Is mortals' chiefest enemy.	You know, security is mortals' chief enemy.
Are your doors locked?	Are your doors locked?
All this my sister is, or else should be.	All this is my sister, or should she be.
A truant disposition, good my lord.	A truant disposition, good my lord.
All that follow their noses are led by their eyes but blind men, and there’s not a nose among twenty but can smell him that’s stinking.	All those who follow their noses are led by their eyes but blind men. There is no nose among twenty but he can smell it stinking.
And you, sir.	You, sir.
Abhorrèd slave, Which any print of goodness wilt not take, Being capable of all ill!	I am a slain slave, which is not a good thing, and is capable of all ill.
And therefore, I pray thee, news.	I pray you, news.
And so am I for Rosalind.	I am for Rosalind.
Andrew Aguecheek”	Andrew Aguecheek.
And most chirurgeonly.	Most chirurgeonly.
A sibyl, that had numbered in the world The sun to course two hundred compasses, In her prophetic fury sewed the work.	A sibyl, that had numbered in the world two hundred compasses, sewed the work in her prophetic fury.
Adieu.	Adieu.
And do still, by these pickers and stealers.	Do it, by these pickers and stealers.
And what have I to give you back whose worth May counterpoise this rich and precious gift?	What do I give you back, who may be able to counterpoise this rich and precious gift?
Alack the day.	The day is right.
Answer as I call you.—Nick Bottom, the weaver?	Answer as I call you.
Am I the motive of these tears, my lord?	Am I the motive for these tears, my lord?
Am I not stayed for, Cinna?	Am I not staying for Cinna?
A crow without feather?	A crow without feathers?
A carrion death, within whose empty eye There is a written scroll.	A carrion death, within which empty eye is a scroll.
Are you answered?	Are you answered?
A gallant curtal-axe upon my thigh, A boar-spear in my hand, and in my heart Lie there what hidden woman’s fear there will, We’ll have a swashing and a martial outside— As many other mannish cowards have That do outface it with their semblances.	I will have a swashing and a martial outside of my thigh, a boar-spear in my hand, and in my heart Lie there what hidden woman’s fear will be.
And thane of Cawdor too: went it not so?	And that is the case of Cawdor.
Alas, my liege, my wife is dead tonight.	My liege, my wife is dead tonight.
And I with him.	I am with him.
Alack, my lord, what do you mean by that?	What are you saying by that?
And he that will not follow Bourbon now, Let him go hence, and with his cap in hand Like a base pander hold the chamber door, Whilst by a slave, no gentler than my dog, His fairest daughter is contaminate.	He will not follow Bourbon now, let him go, and with his cap in hand, like a base pander, hold the chamber door, while by a slave, no gentler than my dog, his fairest daughter is
A blessèd labor, my most sovereign lord.	A blessèd labor, my sovereign lord.
And in good time here the lieutenant comes.— Master Lieutenant, pray you, by your leave, How doth the prince and my young son of York?	In good time, the lieutenant comes here.
A spirit I am indeed, But am in that dimension grossly clad Which from the womb I did participate.	I am a spirit, but I am in that dimension grossly clad.
Approach the chamber, and destroy your sight With a new Gorgon.	Approach the chamber and destroy your sight with a new Gorgon.
A mellifluous voice, as I am true knight.	I am a knight.
About the wood go swifter than the wind, And Helena of Athens look thou find— All fancy-sick she is and pale of cheer, With sighs of love, that costs the fresh blood dear.	You look at Helena of Athens, who is all a little sick and a pale of cheer, with sighs of love, that costs the fresh blood dear.
And so have I addressed me.	I have been to me.
And have not we affections, Desires for sport, and frailty, as men have?	Have we not been able to do anything, do we have a desire for sport, and do we have a desire for a skepticism, as men?
A joint stool.	A stool.
A dream itself is but a shadow.	A dream itself is only a shadow.
And thus thy fall hath left a kind of blot To mark the full-fraught man and best endued With some suspicion.	Your fall has left a blot to mark the man who is a man who is a man of a great length and is best owed with some suspicion.
Approach, Sir Andrew.	Approach, Sir Andrew.
Are you a god?	Are you a god?
And when I have stol'n upon these sons-in-law, Then, kill, kill, kill, kill, kill, kill!	When I have stol'n on these sons-in-law, I will kill, kill, kill, kill, kill, kill, kill!
Ah, Rosencrantz!	Oh Rosencrantz!
And she goes down at twelve.	She goes down at twelve.
A hornèd man’s a monster and a beast.	A horned man is a monster and a beast.
And do you now strew flowers in his way That comes in triumph over Pompey’s blood?	Do you now strew flowers in Pompey’s way that comes in triumph over Pompey’s blood?
Ah, how much might the man deserve of me that would right her!	How much would the man deserve from me that would right her?
About it, and write “happy” when thou’st done.	You can write “happy” when you are done.
And when she put it on, she made me vow That I should neither sell nor give nor lose it.	When she put it on, she made me vow that I will not sell it, give it or lose it.
A southwest blow on ye And blister you all o'er!	A blow from your southwest and you all are o'er!
Ah, ha, my lord, this prince is not an Edward!	Oh, my lord, this prince is not an Edward.
All men I hope live so.	I hope all men live so.
Ah, Tranio, what a cruel father’s he!	Oh Tranio, what a cruel father he is!
Ah ha!	Ah ha!
And joy comes well in such a needy time.	Joy comes in such a needy time.
And here he stands.	Here he stands.
All this”?	All this?
About your years, my lord.	About your years, my lord.
And yet, by the very fangs of malice I swear, I am not that I play.	I swear I am not that I play.
And therefore is Love said to be a child, Because in choice he is so oft beguiled.	Love is said to be a child, because he is so oft beguiled by choice.
A trade, sir, that I hope I may use with a safe conscience, which is, indeed, sir, a mender of bad soles.	A trade, sir, that I hope I can use with a safe conscience, and is indeed a mender of bad soles.
Amen.	Amen.
Anon, as patient as the female dove When that her golden couplets are disclosed, His silence will sit drooping.	When she is revealed, his silence will be drooping.
And you.	You.
And we will hear it.	We will hear it.
Ah, this thou shouldst have done And not have spoke on ’t!	You should have done this and not spoken on it.
An you lie, sirrah, we’ll have you whipped.	If you lie, sirrah, we will have you whipped.
And from hence I go To make these doubts all even.	From here I will make all these doubts even more clear.
And your reports have set the murder on.	Your reports have set the murder on.
An if your wife be not a madwoman, And know how well I have deserved the ring, She would not hold out enemy forever For giving it to me.	If your wife is not a madwoman, and know how much I deserve the ring, she will not hold out for forever for giving it to me.
And now I have the boy, I will undo This hateful imperfection of her eyes.	Now that I have the boy, I will remove this horrible imperfection of her eyes.
And, good night, sweet friend.	Good night, sweet friend.
And in good time, Here comes Sir Richard Ratcliffe and the duke.	In good time, here comes Sir Richard Ratcliffe and the duke.
Alas, I rather hate myself For hateful deeds committed by myself.	I hate myself for hateful acts committed by myself.
And, for his passage, The soldiers' music and the rites of war Speak loudly for him.	For his passage, the soldiers' music and the rites of war speak loudly for him.
Approach and speak.	Approach and speak.
And so, my lord, adieu.	Oh my lord, adieu.
An I were so apt to quarrel as thou art, any man should buy the fee simple of my life for an hour and a quarter.	If I were so apt to fight as you would, anyone should buy the fee simple of my life for an hour and a half.
And Cassius too.	And Cassius too.
And pluck the wings from painted butterflies To fan the moonbeams from his sleeping eyes.	Plow the wings from painted butterflies to fan the moonbeams from his sleeping eyes.
All take hands.	All of us take hands.
A king, perhaps— My lord— How chance the prophet could not at that time Have told me, I being by, that I should kill him?	A king, perhaps, my lord, how chance the prophet would have told me that I should kill him?
And therefore tell me, most fair Katherine, will you have me?	Tell me, Katherine, how fair you will be.
And as with age his body uglier grows, So his mind cankers.	As his body grows uglier, his mind cankers.
Aha!	Aha!
And I do hope good days and long to see.	I hope you have good days and long to see.
And is it not well served into a sweet goose?	Is it not a sweet goose?
All may be well enough.	All is well enough.
And I must Rid all the sea of pirates, then, to send Measures of wheat to Rome.	I must then take all the pirates out of Rome to send me wheat measures.
All which the Moor is defective in.	All that the Moor is defective in.
A match!	A match!
A foolish thought, to say a sorry sight.	It is a foolish thought, to say a sorry sight.
And now, I pray you, sir— For still ’tis beating in my mind—your reason For raising this sea storm?	Now, I pray you, sir, for you, you are the reason for raising this sea storm.
And yet I would not be thee, nuncle.	I would not be you, nuncle.
Are you ready, sir?	Are you ready, sir?
And false.	I am false.
And turns the sun to shade.	Turns the sun to shade.
Antony only, that would make his will Lord of his reason.	Antony would be Lord of his reason.
Are not these woods More free from peril than the envious court?	Aren’t these woods more free from danger than the envious court?
And this, Metellus Cimber.	Metellus Cimber.
And so far am I glad it so did sort, As this their jangling I esteem a sport.	I am glad it did, as I sat down with them and I think it is a sport.
A very dishonest paltry boy, and more a coward than a hare.	A very dishonest paltry boy, and more a coward than a hare.
And yours of Helena to me bequeath, Whom I do love and will do till my death.	You have Helena to be the one who will love me till my death.
Alas, poor caitiff!	Poor caitiff!
Are they so followed?	Are they so followed?
And so, his knell is knolled.	He is a snagged man.
All the world’s a stage, And all the men and women merely players.	All the world is a stage, and all the men and women are just players.
A daughter?	A daughter?
And now methinks I have a mind to it.	Now I think I have a mind to it.
And what says My concealed lady to our canceled love?	What is my hidden lady to our canceled love?
Adieu, Lest our old robes sit easier than our new!	Adieu, let’s sit our old robes easier than our new ones.
And so it is.	It is.
And that were enough to hang us all.	That was enough to hang us all.
And did not I in rage depart from thence?	Did I depart from there in rage?
Alas, who knows?	Who knows?
Adieu, good Queen.	Adieu, good Queen.
A victory is twice itself when the achiever brings home full numbers.	A victory is twice itself when the winner brings home full numbers.
And yesterday the bird of night did sit Even at noon-day upon the marketplace, Hooting and shrieking.	Yesterday night, the bird of night sat on the marketplace, shrieking and sneezing.
All men call thee fickle.	All men call you a frightened man.
A strange fish!	A strange fish!
Alas the day!	It is the day of the day!
And be all traitors that do so?	Are you all the travesties that do so?
A poor unfortunate beggar.	A poor unfortunate beggar.
All is but toys.	All is a game.
Ah, thou spell!	You are a magician.
Antonio is a good man.	Antonio is a good man.
Also King Lewis the Tenth, Who was sole heir to the usurper Capet, Could not keep quiet in his conscience, Wearing the crown of France, till satisfied That fair Queen Isabel, his grandmother, Was lineal of the Lady Ermengare, Daughter to Charles the foresaid duke of Lorraine, By the which marriage the line of Charles the Great Was reunited to the crown of France.	King Lewis the Tenth, who was sole heir to the usurper Capet, could not keep quiet in his conscience, bringing the crown of France, until he satisfied that fair Queen Isabel, his grandmother, was lineal
A husband?	A husband?
A grave?	A grave?
And all the better is it for the maid.	It is for the maid.
A worthy pioneer!	A worthy pioneer!
And till she come, as truly as to heaven I do confess the vices of my blood So justly to your grave ears I’ll present How I did thrive in this fair lady’s love And she in mine.	I will tell you just how I did not thrive in this fair lady’s love and she in mine.
After her, after her.	After her, after her.
All is confirmed, my lord, which was reported.	All is confirmed, my lord.
And then he drew a dial from his poke And, looking on it with lackluster eye, Says very wisely, “It is ten o'clock.	He drew a dial from his poke and, looking at it with a lackluster eye, says wisely, “It is ten o'clock.
An oath of mickle might, and fury shall abate.	A oath of humour will be poured, and fury will be poured.
A madness most discreet, A choking gall, and a preserving sweet.	A sour, sour, and sweet.
And come yourselves, and bring Messala with you, Immediately to us.	Come and bring Messala with you, immediately to us.
An’t please your Honor, players That offer service to your Lordship.	You are not welcome, players who offer service to your Lordship.
And if I cannot, I’ll find those that shall.	If I can, I will find those who will.
A solemn air and the best comforter To an unsettled fancy cure thy brains, Now useless, boiled within thy skull.—There stand, For you are spell-stopped.—   Mine eyes, ev'n sociable to the show of thine, Fall fellowly drops.	A solemn air and the best comforter to an unsettled fancy cure to your brains, now useless, boiled within your skull.
A good epithet!	A good epithet.
And you must cut this flesh from off his breast.	You have to cut this flesh from his breast.
And ask no other dowry with her but such another jest.	Ask no other dowry with her, but a so-called dowry.
Added to these, Of knights, esquires, and gallant gentlemen, Eight thousand and four hundred, of the which, Five hundred were but yesterday dubbed knights.	Add to these eight thousand four hundred knights, esquires, and gallant gentlemen, five hundred were dubbed knights yesterday.
Approach, my Ariel, come.	Come on, Ariel.
And, Kate, when France is mine and I am yours, then yours is France and you are mine.	When France is mine and I am yours, then France is yours and you are mine.
A brave vessel Who had, no doubt, some noble creature in her Dashed all to pieces.	A brave vessel who had, without doubt, some noble creature in her boat sat down to pieces.
Alack, I love myself.	I love myself.
Alack, our terrene moon is now eclipsed, And it portends alone the fall of Antony.	Our moon is now eclipsed, and it is only the fall of Antony.
And from her womb children of divers kind We sucking on her natural bosom find, Many for many virtues excellent, None but for some and yet all different.	We are a huge fan of her womb children, many for many virtues excellent, none but for some and yet all different.
And will you give me leave?	Will you give me permission?
And from henceforth When you are over-earnest with your Brutus, He’ll think your mother chides and leave you so.	When you are over-earning with your Brutus, he will think your mother chides you and leave you so.
And we, like friends, will straightway go together.	We will, like friends, go straight to each other.
And neigh, and bark, and grunt, and roar, and burn, Like horse, hound, hog, bear, fire, at every turn.	And neigh, and bark, and grunt, and roar, and burn, like horse, hound, hog, bear, fire, at every turn.
And thence from Athens turn away our eyes To seek new friends and stranger companies.	From Athens we turn away our eyes to seek new friends and strangers.
And aroint thee, witch, aroint thee!	I am going to kill you, witch, I am going to kill you.
And ’tis great pity that the noble Moor Should hazard such a place as his own second With one of an ingraft infirmity.	It is a shame that the noble Moor could be a danger to his second life with a solitary ingraft infirmity.
And so am I, being else by faith enforced To call young Claudio to a reckoning for it.	I am, being a man of faith, obligated to call young Claudio to a reckoning for it.
And brief, good mother, for I am in haste.	I am in a hurry.
A charge we bear i’ th’ war, And as the president of my kingdom will Appear there for a man.	We are a war-torn nation, and as the president of my kingdom will be there for a man.
And my help.	I will help you.
A blank, my lord.	A blank, my lord.
And so I am, I am.	I am.
Alas, poor hurt fowl, now will he creep into sedges.	Poor fowl, he will now creep into sedges.
A spirit?	A spirit?
All this amazement can I qualify When after that the holy rites are ended I’ll tell you largely of fair Hero’s death.	I will tell you about Hero’s death.
Ah me!	Ah, I am.
And this cuff was but to knock at your ear and beseech list'ning.	This cuff was just to knock at your ear and beseech list'ning.
And for Cassio, let me be his undertaker.	For Cassio, let me be his undertaker.
All disconsolate, With Pindarus his bondman on this hill.	All disconsolate, with Pindarus his bondman on this hill.
And then the boy, his clerk, That took some pains in writing, he begged mine.	The boy, his clerk, took some pains in writing, he begged mine.
And cross-gartered?	And cross-gartered?
And fair she is, if that mine eyes be true.	She is fair, if that is true.
And seemed I ever otherwise to you?	Isn’t I ever told you something different?
Alack, for mercy!	Oh, mercy!
And is ’t not to be damned To let this canker of our nature come In further evil?	Isn’t it not damning to let this canker of our nature come into further evil?
Adieu, noble Agrippa.	Adieu, noble Agrippa.
Adultery?	Adultery?
And so we will, provided that he win her.	We will, if he wins her.
And that which spites me more than all these wants, He does it under name of perfect love, As who should say, if I should sleep or eat, 'Twere deadly sickness or else present death.	He does it under the name of love, as who should say if I sleep or eat, 'Twere deadly sickness or else present death.
Alas, sir, be patient.	Be patient.
Adieu, adieu, adieu.	Adieu, adieu, adieu.
A lover is more condoling.	A lover is more condoling.
Are you crept hither to see the wrestling?	Are you screaming at her to see the wrestling?
And I in all unwillingness will go.	I will go in my best interest.
A devil!	A devil!
Ah, my tender babes, My unblown flowers, new-appearing sweets, If yet your gentle souls fly in the air And be not fixed in doom perpetual, Hover about me with your airy wings And hear your mother’s lamentation.	Oh, my tender babes, my unblown flowers, my sweets, if your gentle souls fly in the air and are not fixed in a perpetual sting, you can hover over me with your airy wings
Alas, Iago, my lord hath so bewhored her, Thrown such despite and heavy terms upon her, That true hearts cannot bear it.	Iago, my lord has so much to do with her, throws such a thing on her, despite and heavy terms, that true hearts cannot bear it.
A sweeter and a Lovellier gentleman, Framed in the prodigality of nature, Young, valiant, wise, and, no doubt, right royal, The spacious world cannot again afford.	A sweeter and a sweeter gentleman, surrounded by the beauty of nature, young, valiant, wise, and, no doubt, right royal, the spacious world cannot again afford.
Alas, he is betrayed and I undone.	He is betrayed and I am retorning.
A man, sir.	A man, sir.
A man is master of his liberty; Time is their master, and when they see time They’ll go or come.	A man is master of his liberty; Time is their master, and when they see time, they will go or come.
An he speak any thing against me, I’ll take him down, an he were lustier than he is, and twenty such Jacks.	If he speaks anything against me, I will take him down, he was lustrier than he is, and twenty such Jacks.
Alack, alack!	Oh, no!
And so he goes to heaven.	He goes to heaven.
Ambition should be made of sterner stuff.	Ambition should be made of sterner stuff.
And here my mistress.	Here is my mistress.
And so, with no money at all and a little more wit, return again to Venice.	With no money at all and a little more wit, return again to Venice.
And, as thou badest me, In troops I have dispersed them 'bout the isle.	As you are, I have dispersed them in troops on the island.
And from thy hated presence part I so.	From your hated presence, I do so.
And must they all be hanged that swear and lie?	Do they all have to be hanged that swear and lie?
A piece of him.	He is a piece of him.
And so perchance may he be.	He is so perchanced.
A good swift simile, but something currish.	A good swift simile, but something currish.
And golden Phoebus never be beheld Of eyes again so royal!	It will never be seen again of eyes so royal!
And even for that do I love you the more.	I love you the more.
Am I a married man or a bachelor?	Am I a married man or a bachelor?
And if tomorrow Our navy thrive, I have an absolute hope Our landmen will stand up.	If our navy continues to grow, I have an absolute hope that our landmen will stand up.
And so it is, truly, and very notably discharged.	It is, truly, and very notably, discharged.
And now forward with thy tale.	Now you will be able to tell your story.
And I for no woman.	I am for no woman.
And so do I.	I do.
And Caesar shall go forth.	Caesar will go forth.
And thou unfit for any place but hell.	You are not in heaven.
Alack the day!	You have to be prepared for the day!
A stoup of wine!	A stoup of wine!
And I’ll go to bed at noon.	I will go to bed at noon.
And so she doth, cousin.	She is cousin.
A lioness hath whelpèd in the streets, And graves have yawned and yielded up their dead.	A lioness has whelped in the streets, and graves have yawned and yielded up their dead.
Am I myself?	Am I myself?
And yet it is not: it is but so-so.	It is not so.
All but mariners Plunged in the foaming brine and quit the vessel, Then all afire with me.	All except mariners sat in the foaming brine and quit the vessel, then afired with me.
All of us have cause To wail the dimming of our shining star, But none can help our harms by wailing them.— Madam, my mother, I do cry you mercy; I did not see your Grace.	All of us have reason to be astonished by the dimming of our shining star, but none of us can help our harms by wailing them.
A turn or two I’ll walk To still my beating mind.	A few turns will be enough to keep my mind beating.
A pox o' your bottle!	A pox o' your bottle!
Are you he?	Are you he?
Are you not Kent?	Are you not Kent?
An ’t be any way, it must be with valor, for policy I hate.	It must be with valor, because I hate policy.
