Anon!	Goodbye!
I will assume thy part in some disguise And tell fair Hero I am Claudio, And in her bosom I’ll unclasp my heart And take her hearing prisoner with the force And strong encounter of my amorous tale.	I’ll disguise your role and tell her that I’m Claudio, and I’ll unclasp my heart and take her prisoner with the force and strength of my amorous tale.
Her eye in heaven Would through the airy region stream so bright That birds would sing and think it were not night.	Her eyes would be so bright in the air that birds would sing and think it wasn’t night.
The weary way hath made you melancholy.	The weary way has made you melancholy.
Tis the last service that I shall command you.	It’s the last service I’ll command you.
But fathers that bear bags  Shall see their children kind.	But fathers who carry bags will see their children kind.
I marvel what kin thou and thy daughters are.	I marvel at how close you and your daughters are.
Twere good you do so much for charity.	You’d be good to do so much for charity.
Come.	Come on.
I am sure of that.	I’m sure of that.
Alas, and woe!	Oh, and I’m so sorry!
The more fool you for laying on my duty.	The more fool you are for laying on my duty.
Farewell, thou lob of spirits.	Goodbye, you lob of spirits.
Our reasons are so full of good regard That were you, Antony, the son of Caesar, You should be satisfied.	Our reasons are so good that if you were Antony, the son of Caesar, you would be satisfied.
Now, Charmian!	Now, Charmian!
This fellow I remember Since once he played a farmer’s eldest son.	This man I remember remembering once he played a farmer’s eldest son.
What need one?	What do you need?
Call my sister so.	Call my sister like that.
Their malady convinces The great assay of art, but at his touch— Such sanctity hath heaven given his hand— They presently amend.	Their malady convinces the great ass of art, but at his touch—that sanctity has given heaven his hand—they’re now changing.
Caliban!	Caliban!
Ay, and that thou and the proudest of you all shall find when he comes home.	Yes, and you and the most proud of you all will find when he comes home.
Be bloody, bold, and resolute.	Be bloody, bold, and resolute.
He calls me “boy” and chides as he had power To beat me out of Egypt.	He calls me “boy” and chides me as if he had power to beat me out of Egypt.
Well, sir, in brief, the gown is not for me.	Well, sir, I’m not sure the gown is for me.
Pray you do not, sir.	Don’t be shy, sir.
Then hie you hence to Friar Lawrence’s cell.	Then go to Friar Lawrence’s cell.
Out of doubt he is transported.	He’s not yet transported.
Thou most lying slave, Whom stripes may move, not kindness!	You lying slave, who can’t move, not kindness!
This servitude makes you to keep unwed.	This servitude makes you want to stay unwed.
And then, as we have ta'en the sacrament, We will unite the white rose and the red.	And then, as we’ve sat in the sacrament, we’ll unite the white rose and the red.
Two of the fairest stars in all the heaven, Having some business, do entreat her eyes To twinkle in their spheres till they return.	Two of the fairest stars in all the heavens, who have some business, are begging her eyes to twinkle in their spheres until they return.
thieves!	thieves!
By so much the more shall I tomorrow be at the height of heart-heaviness, by how much I shall think my brother happy in having what he wishes for.	I’ll be at the height of heart-heaviness tomorrow, and I’ll think my brother is happy with what he wants.
Let’s follow, Gertrude.	Let’s follow him, Gertrude.
But what talk we of fathers when there is such a man as Orlando?	But what do we talk about fathers when there’s such a man as Orlando?
Let all the rest give place.	Let all the rest of us give place.
Never believe it.	Don’t believe it.
I pray you tell your brother how well I counterfeited.	Please tell your brother how well I’ve faked.
I have no exquisite reason for ’t, but I have reason good enough.	I have no excellent reason for it, but I have good reason.
Behold!	Look!
Well may you prosper.	Good luck.
Nay, he reserved a blanket, else we had been all shamed.	No, he reserved a blanket, and we’d all be shamed.
I perceive these lords At this encounter do so much admire That they devour their reason and scarce think Their eyes do offices of truth, their words Are natural breath.—But howsoev'r you have Been justled from your senses, know for certain That I am Prospero and that very duke Which was thrust forth of Milan, who most strangely Upon this shore where you were wracked, was landed, To be the lord on ’t.	I see these lords at this encounter so much that they devour their reason and scarce think their eyes are a source of truth.—But you’ve been justled from your senses, know for sure that I’m
Oh, help, ho!	Help!
He was disposed to mirth, but on the sudden A Roman thought hath struck him.—Enobarbus!	He was tempted to scold him, but suddenly a Roman thought struck him.—Enobarbus!
Well, peace be with you, sir.	Well, please be calm, sir.
Sir, a whole history.	I have a whole history, sir.
Your grace hath laid the odds o' th' weaker side.	Your grace has put the odds on the weaker side.
What wouldst thou, fellow?	What do you want, fellow?
I care not for my spirits, if my legs were not weary.	I don’t care about my spirits, if my legs weren’t tired.
O Caesar, read mine first, for mine’s a suit That touches Caesar nearer.	Oh, Caesar, read mine first, because mine’s a suit that touches Caesar closer.
More light and light it grows.	More and more light.
Here were the servants of your adversary, And yours, close fighting ere I did approach.	Here were the servants of your adversary, and yours, I was fighting close to you.
Sirrah, go see what trumpet ’tis that sounds.	Sirrah, go see what trumpet sounds like.
But if the cause be not good, the king himself hath a heavy reckoning to make, when all those legs and arms and heads, chopped off in a battle, shall join together at the latter day, and cry all, “We died at such a place,” some swearing, some crying for a surgeon, some upon their wives left poor behind them, some upon the debts they owe, some upon their children rawly left.	But if the cause is not good, the king himself has a heavy reckoning to make when all those legs and arms and heads, chopped off in a battle, will join together at the latter day and cry all, “
I’ll tell thee ere thou ask it me again.	I’ll tell you before you ask me again.
I have nothing to do with thee.	I have nothing to do with you.
I’ll join with black despair against my soul And to myself become an enemy.	I’ll join with black despair against my soul and become an enemy.
Come, I’ll dispose of thee Among a sisterhood of holy nuns.	Come on, I’ll leave you with a sisterhood of holy nuns.
So it appears by that I have to say.	I’m going to say that.
I am not such an ass, but I can keep my hand dry.	I’m not such an ass, but I can keep my hand dry.
My Lady Grey his wife, Clarence, ’tis she That tempers him to this extremity.	My Lady Grey’s wife, Clarence, is the one who tempers him to this extreme.
I never hurt you.	I never hurt you.
Borrow Cupid’s wings And soar with them above a common bound.	Borrow Cupid’s wings and soar with them above a common bound.
It is more worthy to leap in ourselves Than tarry till they push us.	It’s more worthy to leap in ourselves than to tarry until they push us.
Therefore in my presence still smile, dear my sweet, I prithee.”	So I congratulate you in my presence.”
Twas told me you were rough and coy and sullen, And now I find report a very liar.	I was told you were rough and coy and sullen, and now I find a report a very liar.
The heart is sorely charged.	The heart is so intense.
I will have such revenges on you both That all the world shall—I will do such things— What they are yet I know not, but they shall be The terrors of the earth.	I’ll revenge you both so that all the world will—I’ll do such things—what they are still I don’t know, but they will be the terrors of the earth.
What, i' th' storm, i' th' night?	What, the storm, the night?
Take up my mistress' gown to his master’s use!	Take up my mistress’s gown to his master’s use!
I’ll bury thee in a triumphant grave.	I’ll bury you in a triumphant grave.
Within this three hours will fair Juliet wake.	Within three hours Juliet will wake up.
Sir, in my heart there was a kind of fighting That would not let me sleep.	Sir, there was a kind of fighting that wouldn’t let me sleep.
I can tell thee where that saying was born, of “I fear no colors.”  Where, good Mistress Mary?	I can tell you where that saying was born, “I don’t fear colors.” Where, good Mistress Mary?
What less than doomsday is the Prince’s doom?	What less is the Prince’s doom than doomsday?
I must be idle.	I must be idle.
I had rather have a fool to make me merry than experience to make me sad— and to travel for it, too.	I’d rather have a fool to make me sad than experience to travel for it too.
What news among the merchants?	What news do the merchants have?
When he returns from hunting, I will not speak with him.	When he returns from hunting, I won’t speak to him.
I’ll have an action of battery against him if there be any law in Illyria.	I’ll have an action against him if there’s any law in Illyria.
Then if he lose he makes a swanlike end, Fading in music.	Then if he loses, he’ll end up swaning, screaming in music.
One, gentlewoman, that God hath made, himself to mar.	God has made himself a man, gentlewoman, to be a martyr.
I’ll mark the play.	I’ll watch the play.
I will confess it to all the 'orld.	I’ll confess it to all the lord.
A friend.	A friend.
Fair Leda’s daughter had a thousand wooers; Then well one more may fair Bianca have.	Then there may be a more beautiful girl like Bianca.
Not life, but love in death.	Not life, but love in death.
I hope she will be brief.	I hope she’ll be brief.
I thank you.	Thank you.
Fool, of thyself speak well.	Fool, speak well of yourself.
A great suspicion.	A great suspicion.
Draw that thy honest sword, which thou hast worn Most useful for thy country.	Draw your honest sword, which you have worn most usefully for your country.
The noble Brutus Hath told you Caesar was ambitious.	The noble Brutus told you Caesar was ambitious.
Under Sir Thomas Erpingham.	Sir Thomas Erpingham.
No more that thane of Cawdor shall deceive Our bosom interest: go pronounce his present death, And with his former title greet Macbeth.	No more than the one of Cawdor’s will fool our interest in the king’s death: go declare his death, and greet Macbeth with his former title.
A turn or two I’ll walk To still my beating mind.	A few minutes later I’ll walk to my heart.
Art thou gone so, love, lord?	Are you gone, love, lord?
Hymen from heaven brought her, Yea, brought her hither, That thou mightst join her hand with his Whose heart within his bosom is.	Hymen brought her from heaven, Yea, brought her here so you could join her hand with his whose heart within his bosom.
There lay he, stretched along like a wounded knight.	He lay there, stretched along like a wounded knight.
Death, that hath ta'en her hence to make me wail, Ties up my tongue and will not let me speak.	Death, who has sent her to make me cry, ties up my tongue and won’t let me speak.
The noise they make Will cause Demetrius to awake.	The noise they make will wake Demetrius up.
Madam, not yet.	Madam, not yet.
Tis done by me, and ends in “Margaret.”   Thus have you breathed your curse against yourself.	It’s done by me, and ends in “Margaret.” You’ve ruined yourself.
Good e'en, brother.	Good morning, brother.
My liege, They are not yet come back.	My liege, they’re not yet coming back.
Come, Charmian.	Come on, Charmian.
That by proscription and bills of outlawry, Octavius, Antony, and Lepidus Have put to death an hundred senators.	Octavius, Antony, and Lepidus have killed an hundred senators by proscription and law.
He that parts us shall bring a brand from heaven And fire us hence like foxes.	The one who’s dividing us will bring a brand from heaven and fire us away like foxes.
If you be pleased, retire into my cell And there repose.	If you’re happy, go back to my cell and go back there.
Being holiday, the beggar’s shop is shut.	Being a holiday, the beggar’s shop is shut.
O sir, content you.	Oh, sir, please.
He came too late.	He came too late.
What stay had I but Edward?	What time did I have except Edward?
Plucking the entrails of an offering forth, They could not find a heart within the beast.	When they shook the entrails of an offer, they couldn’t find a heart inside the beast.
Will you be patient?	Will you be patient?
So ho!	That’s true!
Ha!	Ha!
I will then give it you soundly.	I’ll give it to you then.
A very mean meaning.	That’s a very mean meaning.
Nay, not sound, I pray you.	No, don’t sound, please.
Therefore, most gracious duke, with thy command Let him be brought forth and borne hence for help.	So, most gracious duke, let him be brought out and borne here for help.
O villain, villain, smiling, damnèd villain!	Oh, villain, villain, smiling, damned villain!
Call you me daughter?	Are you calling me daughter?
But though my cates be mean, take them in good part.	But even if my words are mean, take them seriously.
He is descried.	He’s been screamed.
Dost thou not suspect my years?	Don’t you suspect my years?
And yet I do thee wrong to mind thee of it, For thou art framed of the firm truth of valor.	But I’m wrong to think about it, because you’re framed by the truth of valor.
I would your grace would constrain me to tell.	I wish you had to tell me.
Upon what sickness?	What sickness did you suffer?
Ay, my good lord.	Yes, my good lord.
I know it well, sir.	I know it well, sir.
This letter from Bellario doth commend A young and learnèd doctor to our court.	This letter from Bellario gives a young and educated doctor a call to our court.
Not yet, my cousin.	Not yet, cousin.
It is a massy wheel Fixed on the summit of the highest mount, To whose huge spokes ten thousand lesser things Are mortised and adjoined, which, when it falls, Each small annexment, petty consequence, Attends the boisterous ruin.	It’s a wheel fixed on the summit of the highest mountain, to which ten thousand lesser things are buried and buried.
He ran this way and leapt this orchard wall.	He ran this way and leapt over this orchard wall.
Hark, Tranio!	Listen, Tranio!
What’s to do?	What’s going on?
And what wilt thou do—beg when that is spent?	And what will you do—beg when that’s spent?
You do remember all the circumstance?	You remember all the circumstances?
Peace, peace!	Quiet, quiet!
Be silent.	Be quiet.
Pardon, dear father.	Pardon me, dear father.
I might do ’t as well i' th' dark.	I could do it as well in the dark.
I little thought You would have followed.	I didn’t think you would have followed me.
Say, is your tardy master now at hand?	Is your tardy master now at hand?
O dear Ophelia, I am ill at these numbers.	Oh, Ophelia, I’m ill at these numbers.
Pray now, rest yourself.	Now please rest yourself.
How shall I answer you?	How should I answer you?
He thinks, being twenty times of better fortune, He is twenty men to one.	He thinks that twenty times better than a man, he’s twenty men to one.
How many then should cover that stand bare!	How many people should cover that stand bare?
I saw Mark Antony offer him a crown (yet ’twas not a crown neither, ’twas one of these coronets) and, as I told you, he put it by once—but, for all that, to my thinking, he would fain have had it.	I saw Mark Antony offer him a crown (it wasn’t a crown, it wasn’t one of these coronets) and, as I told you, he put it by once—but for all that
Thou didst prevent me.	You stopped me.
Or if thou hast not sat as I do now, Wearying thy hearer in thy mistress’s praise, Thou hast not loved.	Or if you haven’t sat as I do now, you’ve been scolded by your mistress’s praise, you haven’t loved.
Saw you no more?	Didn’t you see anything else?
The devil damn thee black, thou cream-faced loon!	The devil damne you black, you cream-faced loon!
Tell me.	Tell me.
Come, Kate, we’ll to bed.	Come on, Kate, we’ll go to bed.
Emilia, run you to the citadel And tell my lord and lady what hath happed.— Will you go on afore?	Emilia, run to the citadel and tell my lord and lady what’s happened.—Do you want to go on this journey?
But thou with mildness entertain’st thy wooers, With gentle conference, soft and affable.	But you entertain your wooers with a gentle conference, soft and affable.
This is the day wherein I wished to fall By the false faith of him who most I trusted.	This is the day I wished to fall in love with the man I trusted most.
Three and three, We’ll hold a feast in great solemnity.	Three and three, we’ll feast in great solemnity.
Those linen cheeks of thine Are counselors to fear.	The cheeks of yours are a warning to fear.
I pray you, one of you question yond man, if he for gold will give us any food.	Please, one of you asks another, if he gives us any food.
I do repent The tedious minutes I with her have spent.	I’m sorry I spent the tedious minutes with her.
Get horses for your mistress.	Get horses for your mistress.
Lucentio is your name.	Lucentio is your name.
And welcome, welcome!	And welcome, welcome!
Romeo!	Romeo!
Fare ye well.	Goodbye.
By the hour of nine.	By nine o'clock.
She is too fair, too wise, wisely too fair, To merit bliss by making me despair.	She’s too fair, too wise, too fair to merit bliss by making me despair.
Cast it off!	Get it out of here!
Oh, here Will I set up my everlasting rest, And shake the yoke of inauspicious stars From this world-wearied flesh.	Oh, I’ll rest here forever and shake the yoke of savage stars from this world-wearied flesh.
Swoons rather, for so bad a prayer as his Was never yet for sleep.	It’s a sigh, for a so bad prayer as his prayer was never for sleep yet.
O ceremony, show me but thy worth!	Oh, ceremony, show me your worth!
But if thou diest before I come, thou art a mocker of my labor.	But if you die before I come, you’re a mocker of my work.
O Sisters three, Come, come to me With hands as pale as milk.	Oh, sisters three, come to me with hands as pale as milk.
I heard it not.	I didn’t hear it.
So, so, so, so!	So, so, so, so!
Now by my George, my Garter, and my crown— Profaned, dishonored, and the third usurped.	Now by my George, my Garter, and my crown— Profaned, dishonored, and the third usurped.
Now, my friendly knave, I thank thee.	Now, my friendly king, I thank you.
To save her life, I’ll say she is not so.	I’ll say she’s not so.
She that would alter services with thee,  The Fortunate Unhappy”  Daylight and champaign discovers not more.	The man who would alter your services with you, The Fortunate Unhappy” Daylight and champaign don’t discover anything more.
A challenge, on my life.	I’m facing a challenge.
Let every eye nogetiate for itself And trust no agent, for beauty is a witch Against whose charms faith melteth into blood.	Let every eye nogulate for itself and don’t trust any agent, because beauty is a witch whose charms melt into blood.
O most unhappy strumpet!	Oh, what a terrible strumpet!
If you be well pleased with this And hold your fortune for your bliss, Turn you where your lady is And claim her with a loving kiss.”	If you’re happy with this and hold your fortune for your bliss, turn you to where your lady is and claim her with a loving kiss.”
The Prince’s fool!	The Prince’s fool!
Then leave him out.	Then leave him out.
I would thou hadst told me of another father.	I wish you had told me about another father.
Lie thou there.	Go there.
If I could pray to move, prayers would move me.	If I could pray to move, then prayers would move me.
Truly, my name is Cinna.	I’m Cinna.
Madam, I will.	Madam, I will.
That’s mercy, but too much security.	That’s mercy, but it’s too much security.
No more!	Don’t worry about it anymore!
Here, madam, at your service.	Here, madam, at your service.
Ay, if you dare do yourself a profit and a right.	Yes, if you dare to make a profit and a right.
Whose hand soever launched their tender hearts, Thy head, all indirectly, gave direction.	Whoever hand opened their tender hearts so quickly, your head, all indirectly, gave direction.
Where is my lord the duke of Gloucester?	Where is my lord the duke of Gloucester?
And so adieu, sir.	And so, sir.
What sayest thou now?	What do you say now?
A golden mind stoops not to shows of dross.	A golden mind doesn’t stooped to show of dross.
Myself am Naples, Who with mine eyes, never since at ebb, beheld The king my father wracked.	Myself is Naples, who, with my eyes, never seen the king my father wracked.
Good morrow to you both.	Good morning to you both.
Take to you no hard thoughts.	Don’t take any hard thoughts.
Masters, masters—   warrant you.	Master, masters— I’m sure you’re right.
I am informèd thoroughly of the cause.	I’ve been informed of the cause.
Yond same black cloud, yond huge one, looks like a foul bombard that would shed his liquor.	The same cloud, besides the huge cloud, looks like a foul bombardment that would shed his liquor.
I know my hour is come.	I know my hour is here.
You sent me for a rope’s end as soon.	You sent me for a rope’s end as soon as you got it.
I never got him.— Hark, the duke’s trumpets.	I never got him.—Speak, the duke’s trumpets.
He is attended with a desperate train.	He’s waiting for a desperate train.
I know his trumpet.	I know his trumpet.
There’s no offense, my lord.	There’s no offense, my lord.
Which be the malefactors?	Which are the malefactors?
Go to, charm your tongue.	Go to, speak your tongue.
What is “t o”clock?	What time is it?
Tomorrow, my lord.	Tomorrow, my lord.
Fairy King, attend, and mark.	Fairy King, come and see.
Ay, do.	Yes, do.
Yet I cannot choose but laugh To think it should leave crying and say “ay.” And yet, I warrant, it had upon its brow A bump as big as a young cockerel’s stone, A perilous knock, and it cried bitterly.	But I can’t help laughing to think it should leave crying and say “yes.” And yet, I’m sure it had a bump on its forehead as big as a young cockerel’s stone, a
I have lived long enough.	I’ve lived long enough.
I come to thee for charitable license, That we may wander o'er this bloody field To book our dead and then to bury them; To sort our nobles from our common men, For many of our princes—woe the while!— Lie drowned and soaked in mercenary blood.	I’m coming to you for charitable licenses, so we can wander through this bloody field to find our dead and then to bury them; to sort our nobles from our common men, because many of our princes—w
How say you to that, Malvolio?	What do you say to that, Malvolio?
There’s enough.	There’s enough.
What would my potent master?	What would my powerful master do?
How is it with her?	How is she?
God keep you from them, and from such false friends.	God keep you from them and from such false friends.
I shall remember.	I’ll remember.
If thou would have such a one, take me.	If you want to have such a man, take me.
Now I will believe That there are unicorns, that in Arabia There is one tree, the phoenix' throne, one phoenix At this hour reigning there.	Now I’ll believe that unicorns exist, that in Arabia there is one tree, the phoenix’s throne, and one phoenix reigning there at this hour.
That last is true.	That last one is true.
Ah, welladay!	Ah, goodbye!
With no less religion than if thou wert indeed my Rosalind.	With no less religion than if you were my Rosalind.
Oh, lay me by my mistress' side.	Oh, lay me on my mistress’s side.
Tom will throw his head at them.—Avaunt, you curs!	Tom will throw his head at them.—Avail, you curs!
Saints do not move, though grant for prayers' sake.	Saints don’t move, even if they grant for prayers’ sake.
The gods best know— Oh never was there queen So mightily betrayed!	The gods know— Oh, never was there queen so sanely betrayed!
Thou art a soul in bliss, but I am bound Upon a wheel of fire, that mine own tears Do scald like molten lead.	You’re a soul in bliss, but I’m bound on a wheel of fire, that my tears scald like molten lead.
You stand.	You’re standing.
I know the good king and queen have sent for you.	I know the king and queen sent for you.
I wish mine eyes Would with themselves shut up my thoughts.	I wish my eyes could shut up my thoughts.
If you prick us, do we not bleed?	If you prick us, don’t we bleed?
Calphurnia’s cheek is pale, and Cicero Looks with such ferret and such fiery eyes As we have seen him in the Capitol Being crossed in conference by some senators.	Calphurnia’s cheek is pale, and Cicero looks like a ferret and a fiery face as we saw him in the Capitol being crossed in a meeting by some senators.
Thou need’st not to be gone.	You don’t need to go.
Sblood, but you’ll not hear me!	But you won’t hear me!
I’ll know his humor when he knows his time.	I’ll know his humor when he knows his time.
When it concerns the fool or coward.	When it comes to the fool or the coward.
This is the very false gallop of verses.	This is the false saga of verses.
That done, repair to Pompey’s theatre.	That’s done, restore to Pompey’s theatre.
Good my sovereign, Take up the English short, and let them know Of what a monarchy you are the head.	My sovereign, take up the English short and tell them what a monarch you’re the head.
Ass, I doubt not.	I don’t doubt it.
What ring gave you my lord?	What ring did you give me, my lord?
What, my dear Lady Disdain!	What, my dear Lady Disdain!
Mine would, sir, were I human.	I wish I were human, sir.
Woo’t tear thyself?	Do you want to tear yourself?
Is it even so?	Is that true?
Oh, do but think You stand upon the rivage and behold A city on th' inconstant billows dancing, For so appears this fleet majestical Holding due course to Harfleur.	Oh, don’t think you’re standing on the rivage and seeing a city dancing in the sand, because this majestically fleet is holding its course to Harfleur.
The day is spent.	The day is over.
I know you.	I know you.
My lord?	My lord?
Well, we’ll see ’t.	Well, we’ll see it.
Nay, let me alone for swearing.	No, let me be alone for swearing.
Get your apparel together, good strings to your beards, new ribbons to your pumps.	Get your clothes together, good strings to your beards, and new ribbons to your pumps.
Very good orators, when they are out, they will spit; and for lovers lacking—God warn us—matter, the cleanliest shift is to kiss.	Very good orators, when they’re out, they’ll spit.
When thou wakest, if she be by, Beg of her for remedy.	When you wake up, if she’s coming, go ahead and ask for help.
With the help of a surgeon he might yet recover and prove an ass.	With the help of a surgeon, he could recover and prove an ass.
Must there no more be done?	Isn’t there any more work to be done?
Well, you have made a simple choice.	Well, you’ve made a simple choice.
That he hath usèd thee.	He’s sworn in you.
But if we fail, We then can do ’t at land.	But if we fail, we can do it on land.
Give me some help.	Give me some help.
Our troops set forth tomorrow.	Our troops are going tomorrow.
What means this jest?	What’s this nonsense?
Out, out, brief candle!	Out, out, a brief candle!
Wherefore to Dover, sir?	Why Dover?
I warrant something from Venice.	I’m sure I’ll get something from Venice.
A challenge, on my life.	I’m facing a challenge.
To thee I do commend my watchful soul, Ere I let fall the windows of mine eyes.	I’m recommending my sane soul, and I’ll let fall my eyes.
Yet if thou say Antony lives, is well, Or friends with Caesar, or not captive to him, I’ll set thee in a shower of gold and hail Rich pearls upon thee.	But if you say Antony is alive, is well, or is friends with Caesar, or not captive to him, I’ll put you in a shower of gold and hail rich pearls on you.
Tis no matter.	It doesn’t matter.
Even he.	He’s just that.
I have heard more since.	I’ve heard more since.
When I presented Ceres, I thought to have told thee of it, but I feared Lest I might anger thee.	When I presented Ceres, I thought I’d tell you about it, but I feared I’d be tempted to anger you.
Angels and ministers of grace defend us!	Angels and ministers of grace defend us!
This is some minx’s token, and I must take out the work?	This is some minx’s token, and I have to take out the work?
His father was called Philip of Macedon, as I take it.	His father was called Philip of Macedon, as I say.
Sir, there she stands.	She’s standing there, sir.
Death, in guerdon of her wrongs, Gives her fame which never dies.	Death, in a guerdon of her wrongs, gives her fame that never dies.
Inquire me out some mean poor gentleman, Whom I will marry straight to Clarence' daughter.	Ask me some poor gentleman who I’ll marry straight to Clarence’s daughter.
Your sister is the better soldier.	Your sister is the better soldier.
I will help you to ’t.	I’ll help you.
What’s to say?	What’s to say?
My Regan counsels well.	My Regan is very helpful.
You are early stirring.	You’re a bit upset.
I ne'er saw this before.	I hadn’t seen this before.
I had as lief be a Brownist as a politician.	I’d be as a Brownist as a politician.
Hast thou the pretty worm of Nilus there, That kills and pains not?	Are you the pretty worm of Nilus there, who doesn’t kill and pain?
O, lady, lady, shame would have it hid.	Oh, lady, lady, shame would have it hidden.
I shall attend you presently at your tent.	I’ll be at your tent.
How now, Shylock?	What’s going on, Shylock?
You mock me, madam.	You mock me, madam.
I must confess your offer is the best, And, let your father make her the assurance, She is your own; else, you must pardon me.	I must admit your offer is the best, and let your father make her the assurance that she is your own.
I have no words.	I don’t have any words.
Come, seek the conspirators.	Come, find out the conspirators.
Nay, weep not, gentle Eros.	No, don’t cry, gentle Eros.
Tis no matter.— Go to the fellow, good Alexas.	It doesn’t matter.—Go to the fellow, good Alexas.
That were a kind of bastard hope indeed.	That’s a kind of hope for you.
A privilege never to see me more.	It’s a privilege to never see me again.
But when I tell him he hates flatterers, He says he does, being then most flatterèd.	But when I tell him he hates flatterers, he says he does, being flattered.
Brother, I’ll go and bring it thee.	Brother, I’ll go and bring it to you.
What is her mother?	Who is her mother?
Will you come presently?	Will you come here?
Moreover, he hath left you all his walks, His private arbors and new-planted orchards, On this side Tiber.	Moreover, he has left you all his walks, his private arbors and his new-planted orchards, on this side of Tiber.
And thither will I straight to visit him.	And I’ll go straight to visit him.
Would I were able to load him with his desert!	I wish I could load him with his desert!
Speak you so gently?	Do you speak so gently?
Who’s there?	Who’s there?
It wearies me; you say it wearies you.	It’s weary me, you say it’s weary you.
What, what, good cheer!	What, what, good cheer!
I do but keep the peace.	I’m only keeping the peace.
Thou naughty knave, what trade?	You naughty king, what trade?
If this letter move him not, his legs cannot.	If this letter doesn’t move him, his legs can’t.
A coward, a most devout coward, religious in it.	A coward, a very devout coward, religious in it.
Here, here!	Here, here!
Fellows, let’s be gone.	Let’s go.
Yea,” quoth he, “Dost thou fall upon thy face?	Yes,” he said, “Do you fall on your face?
What if I had said I had seen him do you wrong?	What if I had said I saw him do you wrong?
How fondly dost thou reason!	How fondly do you reason?
Should I not say, “Hath a dog money?	Shouldn’t I say, “Is a dog worth money?
Hie thee, slave.	Hie, slave.
Weary sev'nnights nine times nine Shall he dwindle, peak and pine.	Weary nights nine times nine will dwindle, peak and pine.
I pray you, look upon her.	Please, look at her.
No, cousin, I’ll to Fife.	No, cousin, I’ll go to Fife.
Where is my Romeo?	Where is my Romeo?
Now, ere the sun advance his burning eye, The day to cheer and night’s dank dew to dry, I must upfill this osier cage of ours With baleful weeds and precious-juicèd flowers.	Now, if the sun advances his burning eye, the day to cheer and the night’s dew to dry, I must fill this osier cage of ours with baleful weeds and precious-ju
Caesar sends greeting to the Queen of Egypt, And bids thee study on what fair demands Thou mean’st to have him grant thee.	Caesar sends greetings to the Queen of Egypt and asks you to study what you want to do to get him to you.
All take hands.	All of us take their hands.
Their bloody sign of battle is hung out, And something to be done immediately.	Their bloody sign of battle is hanging out, and something to be done immediately.
Before and apace.	Now, I’m ready.
Why, I am glad on ’t.	Well, I’m glad about it.
Rescue, my lord of Norfolk, rescue, rescue!	Rescue, my lord of Norfolk, rescue, rescue!
Then I defy you, stars!	Then I’m afraid of you, stars!
The music, ho!	The music!
Pray you now, forget and forgive.	Please, forget and forgive me.
Hark, what noise is this?	What’s this noise?
Go back again and be new beaten home?	Go back again and be beaten home again?
Maid’s mild behavior and sobriety.	Maid’s mild behavior and sobriety.
A right good markman!	A good markman!
